sample-id	sex
ERR1842703	female
ERR1842750	female
ERR1842856	female
ERR1843449	female
ERR1843483	female
ERR1843487	female
ERR1843520	female
ERR1843531	female
ERR1843541	female
ERR1843543	female
ERR1843566	female
ERR1843594	female
ERR1843656	female
ERR1843660	female
ERR1843781	female
ERR1843791	female
ERR1843802	female
ERR1843843	female
ERR1843851	female
ERR1844551	female
ERR1842131	male
ERR1842134	male
ERR1842145	male
ERR1842183	male
ERR1842188	male
ERR1842215	male
ERR1842230	male
ERR1842439	male
ERR1842441	male
ERR1842453	male
ERR1842466	male
ERR1842469	male
ERR1842500	male
ERR1842727	male
ERR1842746	male
ERR1842807	male
ERR1842881	male
ERR1842911	male
ERR1843486	male
ERR1843534	male
